office,state_po,district,special,ext_D,ext_R,scored_D,scored_R,ideology_gap,year
HOUSE,OH,10,False,0.0,-0.353,False,True,-0.353,2018
HOUSE,OH,11,False,-0.002,-0.137,True,True,-0.135,2018
HOUSE,OH,12,False,0.0,0.0,False,False,0.0,2018
HOUSE,OH,13,False,-0.418,0.0,True,False,0.418,2018
HOUSE,OH,14,False,0.0,-0.367,False,True,-0.367,2018
HOUSE,OH,15,False,0.0,-0.281,False,True,-0.281,2018
HOUSE,OH,16,False,0.0,0.0,False,False,0.0,2018
HOUSE,OK,1,False,0.0,0.0,False,False,0.0,2018
HOUSE,OK,2,False,0.0,0.0,False,True,0.0,2018
HOUSE,OK,3,False,0.556,-0.0869999999999999,True,True,-0.643,2018
HOUSE,OK,4,False,0.0,-0.265,False,True,-0.265,2018
HOUSE,OK,5,False,0.0,0.058,False,True,0.058,2018
HOUSE,OR,1,False,0.0689999999999999,0.0,True,False,-0.0689999999999999,2018
HOUSE,OR,2,False,0.0,-0.3159999999999999,False,True,-0.3159999999999999,2018
HOUSE,OR,3,False,-0.048,0.0,True,False,0.048,2018
HOUSE,OR,4,False,-0.014,0.2250000000000001,True,True,0.2390000000000001,2018
HOUSE,OR,5,False,-0.269,0.0,True,False,0.269,2018
HOUSE,PA,1,False,0.0,-0.41,False,True,-0.41,2018
HOUSE,PA,2,False,-0.292,0.0,True,False,0.292,2018
HOUSE,PA,3,False,-0.0749999999999999,0.0,True,False,0.0749999999999999,2018
HOUSE,PA,4,False,0.0,0.0,False,False,0.0,2018
HOUSE,PA,5,False,0.0,0.0,False,False,0.0,2018
HOUSE,PA,6,False,0.0,0.0,False,False,0.0,2018
HOUSE,PA,7,False,0.0,0.0,False,False,0.0,2018
HOUSE,PA,8,False,0.0639999999999999,0.0,True,False,-0.0639999999999999,2018
HOUSE,PA,9,False,0.0,-0.397,False,True,-0.397,2018
HOUSE,PA,10,False,0.0,-0.1699999999999999,False,True,-0.1699999999999999,2018
HOUSE,PA,11,False,0.0,0.0130000000000001,False,True,0.0130000000000001,2018
HOUSE,PA,12,False,0.0,-0.1709999999999999,False,True,-0.1709999999999999,2018
HOUSE,PA,13,False,0.0,0.0,False,False,0.0,2018
HOUSE,PA,14,False,0.0,0.0,False,False,0.0,2018
HOUSE,PA,15,False,0.0,-0.1029999999999999,False,True,-0.1029999999999999,2018
HOUSE,PA,16,False,-0.642,-0.126,True,True,0.516,2018
HOUSE,PA,17,False,0.0,-0.03,False,True,-0.03,2018
HOUSE,PA,18,False,-0.121,,True,,0.121,2018
HOUSE,RI,1,False,0.168,0.0,True,False,-0.168,2018
HOUSE,RI,2,False,0.005,0.0,True,False,-0.005,2018
HOUSE,SC,1,False,0.0,0.0,False,False,0.0,2018
HOUSE,SC,2,False,0.0,0.058,False,True,0.058,2018
HOUSE,SC,3,False,0.0,0.1340000000000001,False,True,0.1340000000000001,2018
HOUSE,SC,4,False,0.0,0.0,False,False,0.0,2018
HOUSE,SC,5,False,0.0,0.0,False,False,0.0,2018
HOUSE,SC,6,False,-0.19,0.0,True,False,0.19,2018
HOUSE,SC,7,False,0.0,0.066,False,True,0.066,2018
HOUSE,SD,0,False,0.0,0.1280000000000001,False,True,0.1280000000000001,2018
HOUSE,TN,1,False,0.0,0.1169999999999999,False,True,0.1169999999999999,2018
HOUSE,TN,2,False,0.0,0.0,False,False,0.0,2018
HOUSE,TN,3,False,0.0,-0.0449999999999999,False,True,-0.0449999999999999,2018
HOUSE,TN,4,False,0.0,0.24,False,True,0.24,2018
HOUSE,TN,5,False,-0.201,0.0,True,False,0.201,2018
HOUSE,TN,6,False,0.0,0.0,False,False,0.0,2018
HOUSE,TN,7,False,0.0,0.0,False,False,0.0,2018
HOUSE,TN,8,False,0.0,-0.036,False,True,-0.036,2018
HOUSE,TN,9,False,-0.303,0.0,True,False,0.303,2018
HOUSE,TX,1,False,0.508,0.4379999999999999,True,True,-0.07,2018
