date,state_po,district,held_by,winner,flipped,chamber,special_margin,pres_margin,overperformance,pres_baseline,year
2020-05-19,MA,SD-Plymouth & Barnstable,R,D,True,state legislature,12.0,6.0,6.0,2016,2020
2020-05-19,MA,SD-2nd Hampden & Hampshire,R,D,True,state legislature,28.0,11.0,17.0,2016,2020
2020-06-02,MA,HD-Middlesex-37,D,D,False,state legislature,48.0,30.0,18.0,2016,2020
2020-06-02,MA,HD-Bristol-03,R,D,True,state legislature,14.0,10.0,4.0,2016,2020
2020-06-23,NY,NY-27,R,R,False,US House,-5.0,-25.0,19.0,2016,2020
2020-06-23,KY,SD-26,R,D,True,US House,14.0,-13.0,27.0,2016,2020
2020-08-11,SC,HD-115,R,D,True,US House,20.0,-3.0,23.0,2016,2020
2020-11-17,AL,HD-49,R,R,False,US House,-26.0,-47.0,21.0,2020,2020
2021-01-05,VA,HD-02,D,D,False,US House,4.0,24.0,-20.0,2020,2021
2021-01-05,VA,HD-90,D,D,False,US House,27.0,34.0,-7.0,2020,2021
2021-01-19,AL,HD-33,R,R,False,US House,-36.0,-46.0,10.0,2020,2021
2021-01-26,IA,SD-41,R,R,False,US House,-11.0,-21.0,11.0,2020,2021
2021-03-02,CT,SD-27,D,D,False,US House,20.0,39.0,-19.0,2020,2021
2021-03-02,AL,SD-26,D,D,False,US House,57.0,62.0,-5.0,2020,2021
2021-03-09,ME,SD-14,D,D,False,US House,25.0,2.0,23.0,2020,2021
2021-03-23,VA,SD-38,R,R,False,US House,-52.0,-54.0,2.0,2020,2021
2021-03-30,MA,HD-Suffolk-19,D,D,False,state legislature,43.0,32.0,11.0,2020,2021
2021-04-06,OK,SD-22,R,R,False,US House,-31.0,-30.0,-1.0,2020,2021
2021-04-06,WI,AD-89,R,R,False,US House,-26.0,-31.0,5.0,2020,2021
2021-04-06,WI,SD-13,R,R,False,US House,-7.0,-19.0,11.0,2020,2021
2021-04-13,CT,HD-112,R,R,False,US House,-7.0,1.0,-8.0,2020,2021
2021-04-13,NH,HD-Hillsborough-21,R,R,False,state legislature,-8.0,6.0,-15.0,2020,2021
2021-04-27,CT,HD-145,D,D,False,US House,53.0,60.0,-7.0,2020,2021
2021-05-18,PA,HD-60,R,R,False,US House,-49.0,-48.0,-1.0,2020,2021
2021-05-18,PA,HD-59,R,R,False,US House,-32.0,-41.0,8.0,2020,2021
2021-05-18,PA,SD-48,R,R,False,US House,-32.0,-20.0,-11.0,2020,2021
2021-05-18,PA,SD-22,D,D,False,state legislature,13.0,9.0,4.0,2020,2021
2021-06-02,NM,NM-01,D,D,False,US House,25.0,23.0,2.0,2020,2021
2021-06-08,NH,HD-Merrimack-23,D,D,False,state legislature,16.0,11.0,5.0,2020,2021
2021-07-13,GA,HD-34,R,R,False,US House,-26.0,-4.0,-22.0,2020,2021
2021-07-13,AL,SD-14,R,R,False,US House,-61.0,-42.0,-18.0,2020,2021
