office,state_po,special,side,candidate,tier,description
SEN,ME,False,rep,Susan Collins,3,"Susan Collins , incumbent U.S. senator (1997–present)"
SEN,MA,False,dem,Ed Markey,3,"Ed Markey , incumbent U.S. senator (2013–present)"
SEN,MA,False,rep,John Deaton,0,"John Deaton , attorney and nominee for U.S. Senate in 2024"
SEN,MI,False,dem,Abdul El-Sayed,0,"Abdul El-Sayed , former Wayne County health director (2023–2025) and candidate for governor in 2018"
SEN,MI,False,rep,Mike Rogers,2,"Mike Rogers , former U.S. representative from Michigan's 8th congressional district (2001–2015) and nominee for U.S. Senate in 2024"
SEN,MN,False,dem,Peggy Flanagan,2,"Peggy Flanagan , lieutenant governor of Minnesota (2019–present)"
SEN,MN,False,rep,Michele Tafoya,0,"Michele Tafoya , reporter and retired sports broadcaster"
SEN,MS,False,dem,Scott Colom,1,"Scott Colom , district attorney for the 16th Judicial District of Mississippi (2016–present)"
SEN,MS,False,rep,Cindy Hyde-Smith,3,"Cindy Hyde-Smith , incumbent U.S. senator"
SEN,MT,False,dem,Alani Bankhead,0,"Alani Bankhead, Air Force lieutenant colonel and leadership coach"
SEN,MT,False,rep,Kurt Alme,0,"Kurt Alme , former U.S. Attorney for the District of Montana (2017–2020, 2025–2026)"
SEN,NE,False,dem,Dan Osborn,0,
SEN,NE,False,rep,Pete Ricketts,3,"Pete Ricketts , incumbent U.S. senator"
SEN,NH,False,dem,Chris Pappas,2,"Chris Pappas , U.S. representative for New Hampshire's 1st congressional district (2019–present)"
SEN,NH,False,rep,John E. Sununu,3,"John Sununu , former U.S. senator from this seat (2003–2009)"
SEN,NJ,False,dem,Cory Booker,3,"Cory Booker , incumbent U.S. senator (2013–present)"
SEN,NJ,False,rep,Justin Murphy,1,"Justin Murphy, former Deputy Mayor of Tabernacle Township and perennial candidate"
SEN,NM,False,dem,Ben Ray Luján,3,"Ben Ray Luján , incumbent U.S. senator (2021–present)"
SEN,NM,False,rep,Larry Marker,0,"Larry Marker, former oil and gas operator (write-in)"
SEN,NC,False,dem,Roy Cooper,3,"Roy Cooper , former governor of North Carolina (2017–2025)"
SEN,NC,False,rep,Michael Whatley,0,"Michael Whatley , former chair of the Republican National Committee (2024–2025)"
SEN,OK,False,dem,N'Kiyla Jasmine Thomas,0,"N'Kiyla Jasmine Thomas, nurse"
SEN,OK,False,rep,Kevin Hern,2,"Kevin Hern , U.S. representative for Oklahoma's 1st congressional district (2018–present)"
SEN,OR,False,dem,Jeff Merkley,3,"Jeff Merkley , incumbent U.S. senator (2009–present)"
SEN,OR,False,rep,David Brock Smith,1,"David Brock Smith , state senator from the 1st district (2023–present)"
SEN,RI,False,dem,Jack Reed,3,"Jack Reed , incumbent U.S. senator (1997–present)"
