year,state_po,district,dem,rep,winner,winner_side,cand_keys,house_margin,contested,pres_margin,winner_prev,winner_side_prev,incumbent_side,resid_raw
2018,OH,16,129681,170029,ANTHONY GONZALEZ,R,"['GONZALEZ A', 'PALMER S']",-13.462346935370858,True,-17.364016736401677,JAMES B RENACCI,R,0,3.9016698010308186
2018,OK,1,103042,150129,KEVIN HERN,R,"['HERN K', 'GILPIN T']",-18.5988916582073,True,-30.49946865037194,JIM BRIDENSTINE,R,0,11.900576992164641
2018,OK,2,65021,140451,MARKWAYNE MULLIN,R,"['NICHOLS J', 'FOREMAN J', 'MULLIN M', 'CASTALDO R']",-36.71059803768883,True,-52.351097178683396,MARKWAYNE MULLIN,R,-1,15.640499140994564
2018,OK,3,61152,172913,FRANK D LUCAS,R,"['LUCAS F', 'ROBBINS F']",-47.747847820049984,True,-55.767195767195766,FRANK D LUCAS,R,-1,8.019347947145782
2018,OK,4,78088,149227,TOM COLE,R,"['BRANNON M', 'PETERS R', 'COLE T']",-31.29533906693355,True,-39.787234042553195,TOM COLE,R,-1,8.491894975619644
2018,OK,5,121149,117811,KENDRA HORN,D,"['HORN K', 'RUSSELL S']",1.3968865082022095,True,-14.40860215053764,STEVE RUSSELL,R,-1,15.805488658739849
2018,OR,1,231198,116446,SUZANNE BONAMICI,D,"['LAYDA D', 'VERBEEK J', 'BONAMICI S', 'WRITEIN']",33.0084799392482,True,24.83660130718954,SUZANNE BONAMICI,D,1,8.171878632058657
2018,OR,2,145298,207597,GREG WALDEN,R,"['WALDEN G', 'SKINNER J', 'ROBERTS M', 'WRITEIN']",-17.653693024837416,True,-21.63616792249731,GREG WALDEN,R,-1,3.9824748976598947
2018,OR,3,279019,76187,EARL BLUMENAUER,D,"['BLUMENAUER E', 'DYE G', 'KOLLER M', 'MARSH M', 'HARRISON T', 'WRITEIN']",57.102639031998336,True,51.71673819742489,EARL BLUMENAUER,D,1,5.385900834573448
2018,OR,4,208710,152414,PETER DEFAZIO,D,"['ROBINSON A', 'BEILSTEIN M', 'DEFAZIO P', 'JACOBSON R', 'WRITEIN']",15.589105127324686,True,0.10857763300760198,PETER A DEFAZIO,D,1,15.480527494317084
2018,OR,5,197187,149887,KURT SCHRADER,D,"['SOUZA D', 'SCHRADER K', 'CALLAHAN M', 'SANDNES M', 'WRITEIN']",13.628217613534865,True,4.5454545454545405,KURT SCHRADER,D,1,9.082763068080325
2018,PA,1,160745,169053,BRIAN K FITZPATRICK,R,"['FITZPATRICK B', 'WALLACE H']",-2.5191177629943176,True,62.74309109518936,ROBERT A BRADY,D,0,-65.26220885818367
2018,PA,2,159600,42382,BRENDAN F BOYLE,D,"['BOYLE B', 'TORRES D']",58.03388420750364,True,84.48979591836736,DWIGHT EVANS,D,0,-26.455911710863724
2018,PA,3,287610,20387,DWIGHT EVANS,D,"['LEIB B', 'EVANS D']",86.76155936583798,True,-27.159209157127993,MIKE KELLY,R,0,113.92076852296597
2018,PA,4,211524,121467,MADELEINE DEAN CUNNANE,D,"['DAVID D', 'CUNNANE M']",27.044875086714054,True,-22.466039707419018,SCOTT PERRY,R,0,49.51091479413307
2018,PA,5,198639,106075,MARY GAY SCANLON,D,"['SCANLON M', 'KIM P']",30.377337437728492,True,-30.062630480167012,GLENN THOMPSON,R,0,60.4399679178955
2018,PA,6,177704,124124,CHRISTINA JAMPOLER HOULAHAN,D,"['HOULAHAN C', 'MCCAULEY G']",17.751832169314973,True,0.6263048016701476,RYAN A COSTELLO,R,0,17.125527367644825
2018,PA,7,140813,114437,SUSAN ELLIS WILD,D,"['NOTHSTEIN M', 'WILD S', 'SILFIES T']",10.3333986287953,True,2.3883696780893016,PATRICK MEEHAN,R,0,7.945028950705998
2018,PA,8,135603,112563,MATTHEW ALTON CARTWRIGHT,D,"['CHRIN J', 'CARTWRIGHT M']",9.284108217886414,True,-0.20790020790021085,BRIAN FITZPATRICK,R,0,9.492008425786626
2018,PA,9,100204,148723,DANIEL MEUSER,R,"['MEUSER D', 'WOLFF D']",-19.491256472781178,True,-43.859649122807014,BILL SHUSTER,R,0,24.368392650025836
2018,PA,10,141668,149365,SCOTT G PERRY,R,"['SCOTT G', 'PERRY S']",-2.644717265739624,True,-37.42203742203742,TOM MARINO,R,0,34.7773201562978
2018,PA,11,113876,163708,LLOYD K SMUCKER,R,"['KING J', 'SMUCKER L']",-17.952043345437776,True,-24.740124740124735,LOU BARLETTA,R,0,6.788081394686959
2018,PA,12,82825,161047,THOMAS A MARINO,R,"['FRIEDENBERG M', 'MARINO T']",-32.075022962865766,True,-21.532091097308495,KEITH J ROTHFUS,R,0,-10.542931865557271
2018,PA,13,74733,178533,JOHN JOYCE,R,"['OTTAWAY B', 'JOYCE J']",-40.98457747980384,True,34.63917525773196,BRENDAN F BOYLE,D,0,-75.6237527375358
2018,PA,14,110051,151386,GUY L RESCHENTHALER,R,"['BOERIO B', 'RESCHENTHALER G']",-15.810692442156236,True,36.78756476683938,MICHAEL F DOYLE,D,0,-52.59825720899562
2018,PA,15,78327,165245,GLENN WILLIAM THOMPSON JR,R,"['THOMPSON G', 'BOSER S']",-35.684725666332746,True,-7.916666666666661,CHARLES W DENT,R,0,-27.768058999666085
2018,PA,16,124109,135348,GEORGE J KELLY JR,R,"['BEEMAN E', 'KELLY G', 'DINICOLA R']",-4.331738977942395,True,-7.142857142857141,LLOYD K SMUCKER,R,0,2.8111181649147454
2018,PA,17,183162,142417,CONOR JAMES LAMB,D,"['LAMB C', 'ROTHFUS K']",12.514627786190141,True,-10.444674250258535,MATT CARTWRIGHT,D,0,22.959302036448676
