year,office,state_po,district,special,asof,outlet,p_dem,rating,rating_them,actual
2018,HOUSE,LA,6,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-41.72044562785592
2018,HOUSE,MA,2,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,34.398696276732124
2018,HOUSE,MA,3,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,29.903983197059485
2018,HOUSE,MA,5,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,51.87641233176577
2018,HOUSE,MA,6,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,35.009193769941795
2018,HOUSE,MA,9,False,sep22,FiveThirtyEight (model),0.99365,Safe D,Safe D,18.80238411414101
2018,HOUSE,MD,1,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-22.32186564455382
2018,HOUSE,MD,2,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,36.5000836792757
2018,HOUSE,MD,3,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,41.9498493938937
2018,HOUSE,MD,4,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,59.44236773155771
2018,HOUSE,MD,5,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,44.38017673058547
2018,HOUSE,MD,6,False,sep22,FiveThirtyEight (model),0.99865,Safe D,Safe D,21.648079536780177
2018,HOUSE,MD,7,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,56.48599634199628
2018,HOUSE,MD,8,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,38.55902534659011
2018,HOUSE,ME,1,False,sep22,FiveThirtyEight (model),0.99995,Safe D,Safe D,28.81302759753252
2018,HOUSE,ME,2,False,sep22,FiveThirtyEight (model),0.20065,Lean R,Lean R,1.0542283447707734
2018,HOUSE,MI,1,False,sep22,FiveThirtyEight (model),0.0054,Safe R,Likely R,-12.633196690496456
2018,HOUSE,MI,2,False,sep22,FiveThirtyEight (model),0.00075,Safe R,Likely R,-12.562619910466852
2018,HOUSE,MI,3,False,sep22,FiveThirtyEight (model),0.0515,Likely R,Safe R,-11.51431623649816
2018,HOUSE,MI,4,False,sep22,FiveThirtyEight (model),0.00025,Safe R,Safe R,-25.248202069812315
2018,HOUSE,MI,5,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,24.73281343003484
2018,HOUSE,MI,6,False,sep22,FiveThirtyEight (model),0.0601,Likely R,Likely R,-4.743568794890558
2018,HOUSE,MI,7,False,sep22,FiveThirtyEight (model),0.0431,Safe R,Lean R,-7.591676269233377
2018,HOUSE,MI,8,False,sep22,FiveThirtyEight (model),0.25855,Lean R,Toss-up,3.937329782181313
2018,HOUSE,MI,9,False,sep22,FiveThirtyEight (model),0.982,Safe D,Safe D,23.68873295514485
2018,HOUSE,MI,10,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-26.568098342155096
2018,HOUSE,MI,11,False,sep22,FiveThirtyEight (model),0.62345,Lean D,Lean D,6.889166360631656
2018,HOUSE,MI,12,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,40.417146477285854
2018,HOUSE,MI,14,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,64.72468902867814
2018,HOUSE,MN,1,False,sep22,FiveThirtyEight (model),0.06065,Likely R,Lean R,-0.451758077537489
2018,HOUSE,MN,2,False,sep22,FiveThirtyEight (model),0.73195,Lean D,Lean D,5.518496777368649
2018,HOUSE,MN,3,False,sep22,FiveThirtyEight (model),0.8813,Likely D,Likely D,11.44275319827223
2018,HOUSE,MN,4,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,37.86187430867227
2018,HOUSE,MN,5,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,56.486030694767976
2018,HOUSE,MN,6,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-22.39368400351453
2018,HOUSE,MN,7,False,sep22,FiveThirtyEight (model),0.54035,Toss-up,Likely D,4.266723537356935
2018,HOUSE,MN,8,False,sep22,FiveThirtyEight (model),0.1177,Likely R,Toss-up,-5.77935310008828
2018,HOUSE,MO,1,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,65.46783713786665
2018,HOUSE,MO,2,False,sep22,FiveThirtyEight (model),0.05245,Likely R,Likely R,-4.01688247119604
2018,HOUSE,MO,3,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-32.92745853155126
2018,HOUSE,MO,4,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-32.9143743927076
2018,HOUSE,MO,5,False,sep22,FiveThirtyEight (model),0.99995,Safe D,Safe D,26.784938135666888
2018,HOUSE,MO,6,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-34.33650691194664
2018,HOUSE,MO,7,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-37.52736111062469
2018,HOUSE,MO,8,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-49.15235997893871
2018,HOUSE,MS,1,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-34.76490977065822
2018,HOUSE,MS,3,False,sep22,FiveThirtyEight (model),0.0026,Safe R,Safe R,-25.83877995642701
2018,HOUSE,MS,4,False,sep22,FiveThirtyEight (model),0.0,Safe R,Safe R,-37.86740131876073
2018,HOUSE,MT,0,False,sep22,FiveThirtyEight (model),0.00795,Safe R,Lean R,-4.771351886436233
2018,HOUSE,NC,1,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,39.69524158797103
2018,HOUSE,NC,2,False,sep22,FiveThirtyEight (model),0.2805,Lean R,Lean R,-5.61871019627448
2018,HOUSE,NC,4,False,sep22,FiveThirtyEight (model),1.0,Safe D,Safe D,50.138399788526335
